Timestamp,Close,xg_boost_buy,reg_log_buy,SVC_buy,xg_boost_sell,reg_log_sell,SVC_sell
1609966500,126.589996,True,True,True,False,False,True
1610029800,128.169998,True,True,True,True,False,True
1610030100,128.524993,True,True,True,True,False,True
1610030400,128.440307,True,True,True,True,False,True
1610030700,127.999198,True,True,True,True,False,True
1610031000,128.520004,True,True,True,True,False,True
1610031300,129.010299,True,True,True,True,False,True
1610031600,129.410003,True,True,True,True,False,True
1610031900,129.490005,True,True,True,True,False,True
1610032200,129.839202,True,True,True,True,False,True
1610032500,130.005004,True,True,True,True,False,True
1610032800,129.836898,True,True,True,True,False,True
1610033100,129.830093,True,True,True,True,False,True
1610033400,129.86,True,True,True,True,False,True
1610033700,130.0643,True,True,True,False,False,True
1610034000,130.095001,True,True,True,False,False,True
1610034300,130.164993,True,True,True,False,False,True
1610034600,130.199996,True,True,True,False,False,True
1610034900,130.540603,True,True,True,False,False,True
1610035200,130.632507,True,True,True,False,False,True
1610035500,130.962905,True,True,True,False,False,True
1610035800,130.535003,True,True,True,False,False,True
1610036100,130.419998,True,True,True,False,False,True
1610036400,130.529998,True,True,True,False,False,True
1610036700,130.559997,True,True,True,False,False,True
1610037000,130.570007,True,True,True,False,False,True
1610037300,130.830795,True,True,True,False,False,True
1610037600,130.705001,True,True,True,False,False,True
1610037900,130.600006,True,True,True,False,False,True
1610038200,130.479995,True,True,True,True,False,True
1610038500,130.320007,True,True,True,True,False,True
1610038800,130.320007,True,True,True,True,False,True
1610039100,130.150695,True,True,True,True,False,True
1610039400,130.11,True,True,True,True,False,True
1610039700,130.210006,True,True,True,True,False,True
1610040000,130.020004,True,True,True,True,False,True
1610040300,130.059997,True,True,True,True,False,True
1610040600,130.416305,True,True,True,True,False,True
1610040900,130.434997,True,True,True,True,False,True
1610041200,130.532806,True,True,True,True,False,True
1610041500,130.464996,True,True,True,True,False,True
1610041800,130.634994,True,True,True,False,False,True
1610042100,130.461105,True,True,True,True,False,True
1610042400,130.399993,True,True,True,True,False,True
1610042700,130.070007,True,True,True,True,False,True
1610043000,130.240005,True,True,True,True,False,True
1610043300,130.289901,True,True,True,True,False,True
1610043600,130.445007,True,True,True,True,False,True
1610043900,130.36,True,True,True,True,False,True
1610044200,130.5,True,True,True,True,False,True
1610044500,130.346694,True,True,True,True,False,True
1610044800,130.514999,True,True,True,True,False,True
1610045100,130.285003,True,True,True,True,False,True
1610045400,130.363098,True,True,True,True,False,True
1610045700,130.300003,True,True,True,True,False,True
1610046000,130.579696,True,True,True,True,False,True
1610046300,130.554992,True,True,True,True,False,True
1610046600,130.455001,True,True,True,True,False,True
1610046900,130.440002,True,True,True,True,False,True
1610047200,130.525802,True,True,True,True,False,True
1610047500,130.616806,True,True,True,True,False,True
1610047800,130.565002,True,True,True,True,False,True
1610048100,130.570007,True,True,True,True,False,True
1610048400,130.490005,True,True,True,True,False,True
1610048700,130.514999,True,True,True,True,False,True
1610049000,130.509994,True,True,True,True,False,True
1610049300,130.774993,True,True,True,True,False,True
1610049600,130.846206,True,True,True,False,False,True
1610049900,130.889999,True,True,True,False,False,True
1610050200,130.86,True,True,True,False,False,True
1610050500,130.930099,True,True,True,False,False,True
1610050800,131.168395,True,True,True,False,False,True
1610051100,131.210006,True,True,True,False,False,True
1610051400,131.294998,True,True,True,False,False,True
1610051700,131.229995,True,True,True,False,False,True
1610052000,131.199996,True,True,True,False,False,True
1610052300,131.479995,True,True,True,False,False,True
1610052600,131.252502,True,True,True,False,False,True
1610052900,130.86,True,True,True,True,False,True
1610116200,132.312301,True,True,True,False,False,True
1610116500,131.470001,True,True,True,True,False,True
1610116800,131.410095,True,True,True,True,False,True
1610117100,130.901,True,True,True,True,False,True
1610117400,131.320007,True,True,True,True,False,True
1610117700,131.548995,True,True,True,True,False,True
1610118000,131.809997,True,True,True,False,False,True
1610118300,131.384994,True,True,True,True,False,True
1610118600,131.229995,True,True,True,True,False,True
1610118900,131.5,True,True,True,True,False,True
1610119200,130.945495,True,True,True,True,False,True
1610119500,130.380004,True,True,True,True,False,True
1610119800,130.684997,True,True,True,True,False,True
1610120100,130.800003,True,True,True,True,False,True
1610120400,131.220001,True,True,True,True,False,True
1610120700,131.36,True,True,True,True,False,True
1610121000,131.365005,True,True,True,True,False,True
1610121300,131.020004,True,True,True,True,False,True
1610121600,131.080093,True,True,True,True,False,True
1610121900,131.044204,True,True,True,True,False,True
1610122200,131.085006,True,True,True,True,False,True
1610122500,130.719894,True,True,True,True,False,True
1610122800,130.970001,True,True,True,True,False,True
1610123100,131.070007,True,True,True,True,False,True
1610123400,131.1716,True,True,True,True,False,True
1610123700,131.389999,True,True,True,True,False,True
1610124000,131.559997,True,True,True,True,False,True
1610124300,131.559997,True,True,True,True,False,True
1610124600,131.710006,True,True,True,True,False,True
1610124900,132.240005,True,True,True,False,False,True
1610125200,131.940002,True,True,True,True,False,True
1610125500,132.274993,True,True,True,False,False,True
1610125800,132.434997,True,True,True,False,False,True
1610126100,132.270706,True,True,True,False,False,True
1610126400,132.000106,True,True,True,True,False,True
1610126700,132.154998,True,True,True,True,False,True
1610127000,131.960006,True,True,True,True,False,True
1610127300,131.869995,True,True,True,True,False,True
1610127600,131.75,True,True,True,True,False,True
1610127900,131.615493,True,True,True,True,False,True
1610128200,131.695007,True,True,True,True,False,True
1610128500,131.669998,True,True,True,True,False,True
1610128800,131.619995,True,True,True,True,False,True
1610129100,131.595504,True,True,True,True,False,True
1610129400,131.726699,True,True,True,True,False,True
1610129700,131.220001,True,True,True,True,False,True
1610130000,130.809997,True,True,True,True,False,True
1610130300,131.115005,True,True,True,True,False,True
1610130600,131.009994,True,True,True,True,False,True
1610130900,130.699996,True,True,True,True,False,True
1610131200,130.556701,True,True,True,True,False,True
1610131500,130.785003,True,True,True,True,False,True
1610131800,130.945007,True,True,True,True,False,True
1610132100,131.009994,True,True,True,True,False,True
1610132400,131.065002,True,True,True,True,False,True
1610132700,131.157302,True,True,True,True,False,True
1610133000,131.149993,True,True,True,True,False,True
1610133300,131.370101,True,True,True,True,False,True
1610133600,131.179992,True,True,True,True,False,True
1610133900,131.475006,True,True,True,True,False,True
1610134200,131.3208,True,True,True,True,False,True
1610134500,131.404998,True,True,True,True,False,True
1610134800,131.226303,True,True,True,True,False,True
1610135100,131.365005,True,True,True,True,False,True
1610135400,131.404998,True,True,True,True,False,True
1610135700,131.440002,True,True,True,True,False,True
1610136000,131.509994,True,True,True,True,False,True
1610136300,131.619995,True,True,True,True,False,True
1610136600,131.595001,True,True,True,True,False,True
1610136900,131.714996,True,True,True,True,False,True
1610137200,131.531402,True,True,True,True,False,True
1610137500,131.773498,True,True,True,True,False,True
1610137800,131.869995,True,True,True,True,False,True
1610138100,131.940002,True,True,True,True,False,True
1610138400,132.039993,True,True,True,True,False,True
1610138700,132.014999,True,True,True,True,False,True
1610139000,132.050003,True,True,True,True,False,True
1610139300,131.990005,True,True,True,True,False,True
1610375400,128.729995,True,True,True,False,False,True
1610375700,129.100799,True,True,True,False,False,True
1610376000,129.393707,True,True,True,False,False,True
1610376300,129.020004,True,True,True,False,False,True
1610376600,128.910003,True,True,True,False,False,True
1610376900,129.425003,True,True,True,False,False,True
1610377200,129.699996,True,True,True,False,False,True
1610377500,129.949996,True,True,True,True,False,True
1610377800,129.690002,True,True,True,False,False,True
1610378100,129.809997,True,True,True,True,False,True
1610378400,129.699996,True,True,True,True,False,True
1610378700,130.0,True,True,True,True,False,True
1610379000,130.070007,True,True,True,True,False,True
1610379300,129.955307,True,True,True,True,False,True
1610379600,129.634994,True,True,True,True,False,True
1610379900,129.377502,True,True,True,False,False,True
1610380200,129.479995,True,True,True,False,False,True
1610380500,129.570007,True,True,True,True,False,True
1610380800,129.490005,True,True,True,False,False,True
1610381100,129.514099,True,True,True,True,False,True
1610381400,129.169998,True,True,True,False,False,True
1610381700,129.259994,True,True,True,False,False,True
1610382000,129.490005,True,True,True,True,False,True
1610382300,129.5634,True,True,True,True,False,True
1610382600,129.635498,True,True,True,True,False,True
1610382900,129.634902,True,True,True,True,False,True
1610383200,129.464996,True,True,True,True,False,True
1610383500,129.449996,True,True,True,True,False,True
1610383800,129.395294,True,True,True,True,False,True
1610384100,129.509994,True,True,True,True,False,True
1610384400,129.482604,True,True,True,True,False,True
1610384700,129.619995,True,True,True,True,False,True
1610385000,129.603195,True,True,True,True,False,True
1610385300,129.785003,True,True,True,True,False,True
1610385600,129.800003,True,True,True,True,False,True
1610385900,129.705001,True,True,True,True,False,True
1610386200,130.015792,True,True,True,True,False,True
1610386500,129.883193,True,True,True,True,False,True
1610386800,129.8591,True,True,True,True,False,True
1610387100,129.86,True,True,True,True,False,True
1610387400,129.820007,True,True,True,True,False,True
1610387700,129.550003,True,True,True,True,False,True
1610388000,129.559997,True,True,True,True,False,True
1610388300,129.639297,True,True,True,True,False,True
1610388600,129.835006,True,True,True,True,False,True
1610388900,129.764999,True,True,True,True,False,True
1610389200,129.723205,True,True,True,True,False,True
1610389500,129.61,True,True,True,True,False,True
1610389800,129.562698,True,True,True,True,False,True
1610390100,129.464996,True,True,True,True,False,True
1610390400,129.471496,True,True,True,True,False,True
1610390700,129.229995,True,True,True,False,False,True
1610391000,129.36,True,True,True,True,False,True
1610391300,129.345001,True,True,True,True,False,True
1610391600,129.226501,True,True,True,False,False,True
1610391900,129.119995,True,True,True,False,False,True
1610392200,129.139892,True,True,True,False,False,True
1610392500,129.134994,True,True,True,False,False,True
1610392800,129.229995,True,True,True,True,False,True
1610393100,129.000793,True,True,True,False,False,True
1610393400,129.035003,True,True,True,False,False,True
1610393700,128.901596,True,True,True,False,False,True
1610394000,129.100006,True,True,True,True,False,True
1610394300,129.130004,True,True,True,True,False,True
1610394600,129.125,True,True,True,True,False,True
1610394900,129.309997,True,True,True,True,False,True
1610395200,129.331497,True,True,True,True,False,True
1610395500,129.104995,True,True,True,True,False,True
1610395800,128.990005,True,True,True,False,False,True
1610396100,128.960006,True,True,True,False,False,True
1610396400,128.800003,True,True,True,False,False,True
1610396700,128.737899,True,True,True,False,False,True
1610397000,128.813995,True,True,True,False,False,True
1610397300,128.774993,True,True,True,False,False,True
1610397600,128.890106,True,True,True,False,False,True
1610397900,129.100006,True,True,True,True,False,True
1610398200,128.975006,True,True,True,True,False,True
1610398500,128.979995,True,True,True,True,False,True
1610461800,129.25,True,True,True,True,False,True
1610462100,129.509994,True,True,True,True,False,True
1610462400,129.169998,True,True,True,True,False,True
1610462700,128.4066,True,True,True,False,False,True
1610463000,128.429992,True,True,True,False,False,True
1610463300,128.36,True,True,True,False,False,True
1610463600,128.475402,True,True,True,False,False,True
1610463900,128.593795,True,True,True,True,False,True
1610464200,128.399993,True,True,True,False,False,True
1610464500,128.645004,True,True,True,True,False,True
1610464800,128.827499,True,True,True,True,False,True
1610465100,128.999694,True,True,True,True,False,True
1610465400,129.154998,True,True,True,True,False,True
1610465700,128.929992,True,True,True,True,False,True
1610466000,129.009994,True,True,True,True,False,True
1610466300,129.033004,True,True,True,True,False,True
1610466600,129.039596,True,True,True,True,False,True
1610466900,128.910095,True,True,True,True,False,True
1610467200,128.785003,True,True,True,True,False,True
1610467500,128.701705,True,True,True,True,False,True
1610467800,129.039993,True,True,True,True,False,True
1610468100,129.149993,True,True,True,True,False,True
1610468400,128.875,True,True,True,True,False,True
1610468700,128.713897,True,True,True,True,False,True
1610469000,128.638,True,True,True,True,False,True
1610469300,128.551696,True,True,True,True,False,True
1610469600,128.509994,True,True,True,True,False,True
1610469900,128.399993,True,True,True,True,False,True
1610470200,128.267303,True,True,True,False,False,True
1610470500,128.354995,True,True,True,False,False,True
1610470800,127.980003,True,True,True,False,False,True
1610471100,127.629997,True,True,True,False,False,True
1610471400,127.139999,True,True,True,False,False,True
1610471700,127.330001,True,True,True,False,False,True
1610472000,127.339996,True,True,True,False,False,True
1610472300,127.600097,True,True,True,False,False,True
1610472600,127.6762,True,True,True,False,False,True
1610472900,127.980499,True,True,True,True,False,True
1610473200,127.875198,True,True,True,False,False,True
1610473500,127.754997,True,True,True,False,False,True
1610473800,127.870002,True,True,True,True,False,True
1610474100,127.944999,True,True,True,True,False,True
1610474400,128.024993,True,True,True,True,False,True
1610474700,127.904998,True,True,True,True,False,True
1610475000,128.079895,True,True,True,True,False,True
1610475300,127.800003,True,True,True,True,False,True
1610475600,127.911003,True,True,True,True,False,True
1610475900,128.283401,True,True,True,True,False,True
1610476200,128.360107,True,True,True,True,False,True
1610476500,128.350006,True,True,True,True,False,True
1610476800,128.289993,True,True,True,True,False,True
1610477100,128.129806,True,True,True,True,False,True
1610477400,128.140106,True,True,True,True,False,True
1610477700,128.195007,True,True,True,True,False,True
1610478000,128.595001,True,True,True,True,False,True
1610478300,128.425003,True,True,True,True,False,True
1610478600,128.384994,True,True,True,True,False,True
1610478900,128.429992,True,True,True,True,False,True
1610479200,128.440002,True,True,True,True,False,True
1610479500,128.494003,True,True,True,True,False,True
1610479800,128.746093,True,True,True,True,False,True
1610480100,128.490005,True,True,True,True,False,True
1610480400,128.370101,True,True,True,True,False,True
1610480700,128.279998,True,True,True,True,False,True
1610481000,128.11,True,True,True,True,False,True
1610481300,128.399993,True,True,True,True,False,True
1610481600,128.416793,True,True,True,True,False,True
1610481900,128.398498,True,True,True,True,False,True
1610482200,128.304992,True,True,True,True,False,True
1610482500,128.440002,True,True,True,True,False,True
1610482800,128.600006,True,True,True,True,False,True
1610483100,128.539993,True,True,True,True,False,True
1610483400,128.550003,True,True,True,True,False,True
1610483700,128.690002,True,True,True,True,False,True
1610484000,128.789993,True,True,True,True,False,True
1610484300,129.059997,True,True,True,False,False,True
1610484600,128.884399,True,True,True,True,False,True
1610484900,128.8199,True,True,True,True,False,True
1610548200,129.285995,True,True,True,False,False,True
1610548500,129.270004,True,True,True,False,False,True
1610548800,128.934997,True,True,True,True,False,True
1610549100,129.699996,True,True,True,False,False,True
1610549400,130.130004,True,True,True,False,False,True
1610549700,129.830001,True,True,True,False,False,True
1610550000,129.360107,True,True,True,True,False,True
1610550300,129.758697,True,True,True,False,False,True
